logid,date,staffnumber,projectid,hours
3638797,2020-06-24,3636,18285,3
3638798,2020-06-24,3636,25742,2
3638800,2020-06-22,3636,26836,0.5
3638802,2020-06-22,3636,19348,0.5
3638803,2020-06-26,3636,15357,0.5
3638804,2020-06-22,3636,19348,2
3638805,2020-06-22,3636,18285,3
3638806,2020-07-03,3636,26895,1
3638807,2020-07-02,3636,19348,0.25
3638808,2020-07-02,3636,19348,0.75
3638809,2020-07-02,3636,15357,1
3604049,2020-07-14,5689,15362,7.5
3604050,2020-07-15,5689,15362,7.5
3604051,2020-07-16,5689,15362,7.5
3604052,2020-07-17,5689,15362,7.5
3623095,2020-04-13,3535,20448,7.5
3623096,2020-04-14,3535,20448,7.5
3623097,2020-04-15,3535,20448,7.5
3623098,2020-04-16,3535,20448,7.5
3623099,2020-04-17,3535,20448,7.5
3623100,2020-04-20,3535,20448,7.5
3623101,2020-04-21,3535,20448,7.5
3623103,2020-04-22,3535,25767,7.5
3623104,2020-04-23,3535,20448,7.5
3623105,2020-04-24,3535,20448,7.5
3623159,2020-04-27,5689,21537,7.5
3623161,2020-04-28,5689,15362,3
3623304,2020-04-27,5727,18201,7.5
3623305,2020-04-28,5727,18201,7.5
3623480,2020-04-24,3636,19348,4.5
3623481,2020-04-24,3636,19348,1.5
3623482,2020-04-24,3636,18287,1
3623483,2020-04-23,3636,19348,2.5
3623484,2020-04-23,3636,25805,1
3623485,2020-04-22,3636,19348,3
3623486,2020-04-22,3636,19348,3
3623487,2020-04-22,3636,15357,0.5
3623488,2020-04-15,3636,15357,0.5
3623489,2020-04-16,3636,19348,1
3623490,2020-04-14,3636,15357,2
3623491,2020-04-14,3636,15357,1
3623492,2020-04-13,3636,18287,2
3623493,2020-04-23,3636,19348,1.5
3623494,2020-04-24,3636,26827,0.5
3623495,2020-04-23,3636,19348,2
3623496,2020-04-23,3636,15357,0.5
3623497,2020-04-22,3636,19348,1
3623498,2020-04-21,3636,26835,1
3623499,2020-04-20,3636,25780,2
3623500,2020-04-17,3636,19348,2
3623501,2020-04-16,3636,19348,0.5
3623502,2020-04-16,3636,19348,3
3623503,2020-04-15,3636,25784,1.5
3623504,2020-04-13,3636,25701,1.5
3623505,2020-04-14,3636,25779,0.5
3623506,2020-04-14,3636,25709,0.5
3623507,2020-04-14,3636,19348,3.5
3623508,2020-04-15,3636,26830,2
3623509,2020-04-15,3636,25780,0.5
3623510,2020-04-15,3636,19348,3
3623511,2020-04-16,3636,19348,3
3623512,2020-04-17,3636,19348,5.5
3623513,2020-04-20,3636,19348,3.5
3623514,2020-04-21,3636,19348,6.5
3623631,2020-04-27,3631,21537,7.5
3623632,2020-04-28,3631,21537,7.5
3623633,2020-04-27,5722,18201,7.5
3623634,2020-04-28,5722,18201,7.5
3633085,2020-06-26,3631,21537,7.5
3633086,2020-06-29,3631,21537,7.5
3633087,2020-06-30,3631,21537,7.5
3633088,2020-07-02,3631,21537,7.5
3633089,2020-07-03,3631,21537,7.5
3633125,2020-05-25,3636,19348,4.5
3633126,2020-05-25,3636,15357,0.25
3633127,2020-05-26,3636,19348,5
3633129,2020-05-28,3636,19348,4.5
3633130,2020-05-29,3636,19348,1.5
3633131,2020-06-01,3636,19348,0.5
3633132,2020-06-02,3636,19348,2.5
3633133,2020-06-04,3636,15357,0.25
3633134,2020-06-04,3636,19348,4
3633135,2020-06-05,3636,25784,1
3633136,2020-06-05,3636,19348,1
3633137,2020-06-05,3636,15357,0.5
3633138,2020-06-05,3636,19348,5
3634207,2020-06-10,5727,18201,7.5
3634212,2020-06-08,5722,18201,7.5
3634213,2020-06-09,5722,18201,7.5
3634214,2020-06-10,5722,18201,7.5
3634215,2020-06-08,3631,21537,7.5
3634216,2020-06-09,3631,21537,7.5
3634217,2020-06-10,3631,21537,7.5
3634226,2020-06-09,5689,15362,8.5
3634227,2020-06-10,5689,15362,1
3634228,2020-06-10,5689,21537,2
3634300,2020-06-10,5689,15362,6.5
3634351,2020-06-11,5727,18201,7.5
3634395,2020-06-11,5689,21537,5
3634397,2020-06-11,5689,15362,2
3634413,2020-06-12,5727,18201,7.5
3634420,2020-06-11,3631,21537,7.5
3634421,2020-06-12,3631,21537,7.5
3634422,2020-06-11,5722,18201,7.5
3634423,2020-06-12,5722,18201,7.5
3634530,2020-06-08,3636,15357,3
3634532,2020-06-08,3636,19348,3
3634533,2020-06-08,3636,15357,1.5
3634535,2020-06-09,3636,25780,1
3634536,2020-06-10,3636,25742,1
3634537,2020-06-10,3636,19348,1
3634538,2020-06-11,3636,15357,0.5
3634539,2020-06-11,3636,15357,0.25
3634540,2020-06-11,3636,15357,0.25
3634541,2020-06-11,3636,15357,1
3634543,2020-06-11,3636,26849,1
3634545,2020-06-11,3636,26836,2
3634549,2020-06-12,3636,19348,4
3634554,2020-06-10,3636,26829,2
3634569,2020-06-10,3636,26849,1
3634570,2020-06-10,3636,19348,0.25
3634571,2020-06-10,3636,19348,0.25
3634572,2020-06-09,3636,15357,2
3634573,2020-06-09,3636,19348,4.5
3634574,2020-06-10,3636,19348,2
3634575,2020-06-11,3636,19348,2.5
3634576,2020-06-12,3636,19348,3.5
3634635,2020-06-15,5727,18201,7.5
3634734,2020-06-12,5689,15362,7.5
3634745,2020-06-11,5689,15362,1.25
3634749,2020-07-02,5689,15362,7.5
3634750,2020-07-03,5689,15362,7.5
3634751,2020-07-13,5689,15362,7.5
3634835,2020-06-16,5727,18201,7.5
3634882,2020-06-17,5727,18201,7.5
3634979,2020-06-08,3535,20448,7.5
3634981,2020-06-09,3535,20448,7.5
3634982,2020-06-10,3535,20448,7.5
3634983,2020-06-11,3535,20448,7.5
3634984,2020-06-12,3535,20448,7.5
3635014,2020-06-17,3636,15357,1.25
3635018,2020-06-17,3636,15357,0.25
3635019,2020-06-17,3636,25784,3
3635020,2020-06-15,3636,19348,7.5
3635035,2020-06-19,5727,18201,7.5
3635038,2020-06-18,5727,18201,7.5
3635040,2020-06-15,5689,21537,5
3635041,2020-06-15,5689,15362,3
3635042,2020-06-16,5689,15362,5
3635043,2020-06-16,5689,21537,3
3635044,2020-06-18,5689,21537,2
3635046,2020-06-17,5689,21537,4.5
3644359,2020-08-05,3636,15452,1
3644360,2020-08-05,3636,15452,1
3644615,2020-08-06,5727,18201,7.5
3644643,2020-08-06,3636,26896,1
3621848,2020-04-16,5727,18201,7.5
3621849,2020-04-17,5727,18201,7.5
3622184,2020-04-20,3636,25748,2
3622227,2020-04-20,5727,18201,7.5
3622228,2020-04-21,5727,18201,7.5
3622299,2020-04-22,5727,18201,7.5
3622308,2020-04-20,5689,21537,7.5
3622309,2020-04-17,5689,21537,7.5
3622310,2020-04-21,5689,15362,5
3622311,2020-04-21,5689,21537,2.5
3622312,2020-04-22,5689,21537,7.5
3622325,2020-04-13,3631,21537,7.5
3622326,2020-04-14,3631,21537,7.5
3622327,2020-04-15,3631,21537,7.5
